render_flow_id,year,origin_country_id,destination_country_id,origin_longitude,origin_latitude,destination_longitude,destination_latitude,commodity_id,commodity_group,quantity_tonnes,visual_magnitude,commodity_max_quantity_tonnes,unit_id,flow_mode,color_rgba,line_width,source_table,source_id,tooltip
rf_nf_2024_ammonia_FRA_NLD_00735,2024,NLD,FRA,5.554136426128487,52.134054128923886,2.1940236627886227,46.6423682169416,ammonia,fertilizer,90106.193,285635155.285,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.142,net_trade_flows,nf_2024_ammonia_FRA_NLD_00735,"Ammonia: Netherlands -> France | 90106.193 tonnes net | gross NLD->FRA: 101051.437 t, reverse: 10945.244 t"
rf_nf_2024_ammonia_DZA_USA_00602,2024,DZA,USA,2.6558464719769135,28.350969744889056,-96.33161660829639,38.8208089190304,ammonia,fertilizer,89993,285455688.927,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.140,net_trade_flows,nf_2024_ammonia_DZA_USA_00602,"Ammonia: Algeria -> United States | 89993 tonnes net | gross DZA->USA: 89993 t, reverse: 0 t"
rf_nf_2024_ammonia_OMN_ZAF_01122,2024,OMN,ZAF,55.841088119829,20.7242833183209,24.75252746489084,-28.55361930679731,ammonia,fertilizer,87538.59,281536113.672,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.103,net_trade_flows,nf_2024_ammonia_OMN_ZAF_01122,"Ammonia: Oman -> South Africa | 87538.59 tonnes net | gross OMN->ZAF: 87538.59 t, reverse: 0 t"
rf_nf_2024_ammonia_EGY_ESP_00606,2024,EGY,ESP,30.240135435012338,26.60517034450628,-16.53799441021647,28.297665106525546,ammonia,fertilizer,81641.335,271887590.912,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",4.010,net_trade_flows,nf_2024_ammonia_EGY_ESP_00606,"Ammonia: Egypt -> Canarias | 81641.335 tonnes net | gross EGY->ESP: 81641.335 t, reverse: 0 t"
rf_nf_2024_ammonia_BEL_USA_00212,2024,USA,BEL,-96.33161660829639,38.8208089190304,4.675010154696485,50.6182138854095,ammonia,fertilizer,79504.568,268305996.374,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.976,net_trade_flows,nf_2024_ammonia_BEL_USA_00212,"Ammonia: United States -> Belgium | 79504.568 tonnes net | gross USA->BEL: 79866.974 t, reverse: 362.406 t"
rf_nf_2024_ammonia_EGY_TUN_00617,2024,EGY,TUN,30.240135435012338,26.60517034450628,9.65587551697984,34.08636179565723,ammonia,fertilizer,79482.483,268268728.393,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.975,net_trade_flows,nf_2024_ammonia_EGY_TUN_00617,"Ammonia: Egypt -> Tunisia | 79482.483 tonnes net | gross EGY->TUN: 79482.483 t, reverse: 0 t"
rf_nf_2024_ammonia_COL_TTO_00447,2024,TTO,COL,-61.37236579976247,10.415515638298093,-72.6445066243485,4.187753877352739,ammonia,fertilizer,79449.3,268212723.030,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.975,net_trade_flows,nf_2024_ammonia_COL_TTO_00447,"Ammonia: Trinidad and Tobago -> Colombia | 79449.3 tonnes net | gross TTO->COL: 79449.3 t, reverse: 0 t"
rf_nf_2024_ammonia_ESP_PRT_00653,2024,ESP,PRT,-16.53799441021647,28.297665106525546,-7.933662183874006,39.67529214702138,ammonia,fertilizer,77541.428,264972763.462,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.944,net_trade_flows,nf_2024_ammonia_ESP_PRT_00653,"Ammonia: Canarias -> Portugal | 77541.428 tonnes net | gross ESP->PRT: 98381.212 t, reverse: 20839.784 t"
rf_nf_2024_ammonia_CHL_USA_00365,2024,USA,CHL,-96.33161660829639,38.8208089190304,-70.76863431739216,-37.82938283049967,ammonia,fertilizer,72243.515,255760676.477,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.855,net_trade_flows,nf_2024_ammonia_CHL_USA_00365,"Ammonia: United States -> Chile | 72243.515 tonnes net | gross USA->CHL: 72243.515 t, reverse: 0 t"
rf_nf_2024_ammonia_KAZ_RUS_00982,2024,RUS,KAZ,98.6704990698032,59.039434214106194,66.3759193479301,47.641465195176835,ammonia,fertilizer,71296.648,254079071.572,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.839,net_trade_flows,nf_2024_ammonia_KAZ_RUS_00982,"Ammonia: Russian Federation -> Kazakhstan | 71296.648 tonnes net | gross RUS->KAZ: 71296.649 t, reverse: 0.001 t"
rf_nf_2024_ammonia_LBY_TUR_01018,2024,LBY,TUR,17.91133392454237,27.202915771690794,35.56886764076691,38.93207363123396,ammonia,fertilizer,70665.519,252951998.071,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.828,net_trade_flows,nf_2024_ammonia_LBY_TUR_01018,"Ammonia: Libya -> Turkey | 70665.519 tonnes net | gross LBY->TUR: 70673.58 t, reverse: 8.061 t"
rf_nf_2024_ammonia_DZA_FRA_00591,2024,DZA,FRA,2.6558464719769135,28.350969744889056,2.1940236627886227,46.6423682169416,ammonia,fertilizer,70340.21,252369093.678,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.823,net_trade_flows,nf_2024_ammonia_DZA_FRA_00591,"Ammonia: Algeria -> France | 70340.21 tonnes net | gross DZA->FRA: 70340.3 t, reverse: 0.09 t"
rf_nf_2024_ammonia_BGR_DZA_00235,2024,DZA,BGR,2.6558464719769135,28.350969744889056,25.251739122561908,42.82043677302438,ammonia,fertilizer,69714.7,251244474.434,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.812,net_trade_flows,nf_2024_ammonia_BGR_DZA_00235,"Ammonia: Algeria -> Bulgaria | 69714.7 tonnes net | gross DZA->BGR: 69714.7 t, reverse: 0 t"
rf_nf_2024_ammonia_IDN_MAR_00857,2024,IDN,MAR,113.96538246847302,0.15591979959037652,-8.817212587250811,28.687598134979325,ammonia,fertilizer,68427.993,248915097.587,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.790,net_trade_flows,nf_2024_ammonia_IDN_MAR_00857,"Ammonia: Indonesia -> Morocco | 68427.993 tonnes net | gross IDN->MAR: 68427.993 t, reverse: 0 t"
rf_nf_2024_ammonia_BGR_EGY_00236,2024,EGY,BGR,30.240135435012338,26.60517034450628,25.251739122561908,42.82043677302438,ammonia,fertilizer,67459.08,247146545.680,1104412.528,tonne,net,"rgba(102, 190, 168, 0.84)",3.773,net_trade_flows,nf_2024_ammonia_BGR_EGY_00236,"Ammonia: Egypt -> Bulgaria | 67459.08 tonnes net | gross EGY->BGR: 67459.08 t, reverse: 0 t"
