year,country_id,commodity_id,total_import_tonnes,total_export_tonnes,net_import_tonnes,net_export_tonnes,number_of_suppliers,largest_supplier_share,herfindahl_hirschman_index,notes
2024,OMN,ammonia,181.872,1380434.09,0,1380252.218,2,0.999285,0.998571,HHI is calculated over direct import suppliers only
2024,PAK,ammonia,105.346,3678.558,0,3573.212,11,0.705561,0.520559,HHI is calculated over direct import suppliers only
2024,PAN,ammonia,167.747,0,167.747,0,6,0.432198,0.327837,HHI is calculated over direct import suppliers only
2024,PER,ammonia,506.912,0,506.912,0,5,0.988235,0.976667,HHI is calculated over direct import suppliers only
2024,PHL,ammonia,14635.724,0,14635.724,0,14,0.649925,0.497672,HHI is calculated over direct import suppliers only
2024,PNG,ammonia,42.15,0,42.15,0,5,0.642942,0.466628,HHI is calculated over direct import suppliers only
2024,POL,ammonia,12748.038,33843.823,0,21095.785,22,0.393655,0.256983,HHI is calculated over direct import suppliers only
2024,PRT,ammonia,246997.841,20856.228,226141.613,0,10,0.424251,0.354975,HHI is calculated over direct import suppliers only
2024,PRY,ammonia,322.569,0,322.569,0,7,0.606621,0.465532,HHI is calculated over direct import suppliers only
2024,PYF,ammonia,0.225,0,0.225,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,QAT,ammonia,2105.883,588818.7,0,586712.817,7,0.943382,0.892298,HHI is calculated over direct import suppliers only
2024,ROU,ammonia,11419.07,1858.198,9560.872,0,18,0.671524,0.520940,HHI is calculated over direct import suppliers only
2024,RUS,ammonia,19.305,701864.125,0,701844.82,4,0.987620,0.975540,HHI is calculated over direct import suppliers only
2024,RWA,ammonia,46.373,0.001,46.372,0,3,0.548789,0.504372,HHI is calculated over direct import suppliers only
2024,SAU,ammonia,2216.811,2474388.152,0,2472171.341,14,0.771548,0.639382,HHI is calculated over direct import suppliers only
2024,SDN,ammonia,22.646,0,22.646,0,2,0.591716,0.516824,HHI is calculated over direct import suppliers only
2024,SEN,ammonia,17169.433,3.12,17166.313,0,12,0.450564,0.351804,HHI is calculated over direct import suppliers only
2024,SGP,ammonia,84124.003,2593.62,81530.383,0,18,0.410074,0.277084,HHI is calculated over direct import suppliers only
2024,SHN,ammonia,0.318,0,0.318,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,SLE,ammonia,20.88,0,20.88,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,SLV,ammonia,58.777,66.488,0,7.711,2,0.965973,0.934262,HHI is calculated over direct import suppliers only
2024,SPM,ammonia,0.011,0,0.011,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,SRB,ammonia,52208.755,8.287,52200.468,0,18,0.930759,0.867574,HHI is calculated over direct import suppliers only
2024,SSD,ammonia,3.682,0,3.682,0,2,0.686855,0.569830,HHI is calculated over direct import suppliers only
2024,SUR,ammonia,45.41,0,45.41,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,SVK,ammonia,11108.968,83823.176,0,72714.208,18,0.532950,0.347702,HHI is calculated over direct import suppliers only
2024,SVN,ammonia,5135.201,497.704,4637.497,0,18,0.532349,0.349678,HHI is calculated over direct import suppliers only
2024,SWE,ammonia,241032.57,6490.252,234542.318,0,19,0.758312,0.586765,HHI is calculated over direct import suppliers only
2024,SWZ,ammonia,1958.307,0,1958.307,0,2,0.946893,0.899427,HHI is calculated over direct import suppliers only
2024,SYC,ammonia,1.833,0,1.833,0,5,0.370977,0.330940,HHI is calculated over direct import suppliers only
2024,SYR,ammonia,760.399,0,760.399,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,TCD,ammonia,0.06,0,0.06,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,TGO,ammonia,0.836,0,0.836,0,4,0.443780,0.350395,HHI is calculated over direct import suppliers only
2024,THA,ammonia,333664.093,1707.981,331956.112,0,19,0.694220,0.506250,HHI is calculated over direct import suppliers only
2024,TJK,ammonia,25.2,0,25.2,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,TKM,ammonia,1.361,0,1.361,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,TON,ammonia,0.381,0,0.381,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,TTO,ammonia,86.732,3286048.025,0,3285961.293,4,0.458885,0.331272,HHI is calculated over direct import suppliers only
2024,TUN,ammonia,110744.33,30.372,110713.958,0,8,0.717712,0.593804,HHI is calculated over direct import suppliers only
2024,TUR,ammonia,843563.363,247705.338,595858.025,0,24,0.312738,0.174171,HHI is calculated over direct import suppliers only
2024,TZA,ammonia,355.057,3.815,351.242,0,11,0.651428,0.455509,HHI is calculated over direct import suppliers only
2024,UGA,ammonia,107.051,2.531,104.52,0,5,0.623021,0.527664,HHI is calculated over direct import suppliers only
2024,UKR,ammonia,4962.842,119.912,4842.93,0,16,0.251817,0.183738,HHI is calculated over direct import suppliers only
2024,URY,ammonia,529.171,0,529.171,0,6,0.770292,0.645825,HHI is calculated over direct import suppliers only
2024,USA,ammonia,2095939.644,1343718.083,752221.561,0,20,0.531153,0.459404,HHI is calculated over direct import suppliers only
2024,UZB,ammonia,12.643,334.531,0,321.888,8,0.802104,0.657601,HHI is calculated over direct import suppliers only
2024,VGB,ammonia,0.01,0,0.01,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,VNM,ammonia,182935.733,233.109,182702.624,0,14,0.534450,0.393499,HHI is calculated over direct import suppliers only
2024,YEM,ammonia,90.258,0,90.258,0,3,0.592634,0.517000,HHI is calculated over direct import suppliers only
2024,ZAF,ammonia,165383.144,2564.398,162818.746,0,14,0.529308,0.361409,HHI is calculated over direct import suppliers only
2024,ZMB,ammonia,108.435,20.663,87.772,0,6,0.740296,0.600605,HHI is calculated over direct import suppliers only
2024,ZWE,ammonia,375.198,0,375.198,0,3,0.976977,0.955003,HHI is calculated over direct import suppliers only
2024,AFG,bauxite_alumina,4,0,4,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,AGO,bauxite_alumina,4654.575,0.02,4654.555,0,14,0.790114,0.642810,HHI is calculated over direct import suppliers only
2024,ALB,bauxite_alumina,23.803,0.001,23.802,0,8,0.546150,0.360065,HHI is calculated over direct import suppliers only
2024,AND,bauxite_alumina,3.069,0,3.069,0,2,0.998371,0.996747,HHI is calculated over direct import suppliers only
2024,ARE,bauxite_alumina,3307831.116,7955.693,3299875.423,0,27,0.805420,0.660654,HHI is calculated over direct import suppliers only
2024,ARG,bauxite_alumina,908919.555,0.003,908919.552,0,23,0.685949,0.551569,HHI is calculated over direct import suppliers only
2024,ARM,bauxite_alumina,25.177,10.741,14.436,0,15,0.345712,0.238637,HHI is calculated over direct import suppliers only
2024,AUS,bauxite_alumina,222841.397,55663484,0,55440642.651,30,0.944091,0.893178,HHI is calculated over direct import suppliers only
2024,AUT,bauxite_alumina,90692.028,56550.486,34141.542,0,36,0.226032,0.142131,HHI is calculated over direct import suppliers only
2024,AZE,bauxite_alumina,98623.186,0,98623.186,0,14,0.661093,0.492998,HHI is calculated over direct import suppliers only
2024,BDI,bauxite_alumina,0.1,0,0.1,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,BEL,bauxite_alumina,72425.949,10074.539,62351.41,0,32,0.673913,0.481421,HHI is calculated over direct import suppliers only
2024,BEN,bauxite_alumina,40714.44,0,40714.44,0,5,0.999645,0.999291,HHI is calculated over direct import suppliers only
2024,BFA,bauxite_alumina,10.735,0,10.735,0,4,0.966279,0.934711,HHI is calculated over direct import suppliers only
2024,BGD,bauxite_alumina,5520.796,0.003,5520.793,0,11,0.473892,0.337118,HHI is calculated over direct import suppliers only
2024,BGR,bauxite_alumina,9266.91,289.922,8976.988,0,25,0.596091,0.409322,HHI is calculated over direct import suppliers only
2024,BHR,bauxite_alumina,3003988.967,35416.933,2968572.034,0,17,0.965577,0.932947,HHI is calculated over direct import suppliers only
2024,BHS,bauxite_alumina,132.419,0,132.419,0,3,0.846820,0.740547,HHI is calculated over direct import suppliers only
2024,BIH,bauxite_alumina,95877.383,227485.534,0,131608.151,15,0.995215,0.990456,HHI is calculated over direct import suppliers only
2024,BLR,bauxite_alumina,2783.683,0,2783.683,0,15,0.401849,0.219972,HHI is calculated over direct import suppliers only
2024,BLZ,bauxite_alumina,19.758,0,19.758,0,2,0.998633,0.997271,HHI is calculated over direct import suppliers only
2024,BMU,bauxite_alumina,0.541,0,0.541,0,2,0.587800,0.515418,HHI is calculated over direct import suppliers only
2024,BOL,bauxite_alumina,1065.476,0,1065.476,0,9,0.956439,0.915352,HHI is calculated over direct import suppliers only
2024,BRA,bauxite_alumina,32218.769,12808485.202,0,12776266.433,33,0.382157,0.191226,HHI is calculated over direct import suppliers only
2024,BRB,bauxite_alumina,0.609,61.559,0,60.95,3,0.821018,0.695439,HHI is calculated over direct import suppliers only
2024,BRN,bauxite_alumina,88.828,20,68.828,0,4,0.739632,0.609117,HHI is calculated over direct import suppliers only
2024,BTN,bauxite_alumina,3,0,3,0,1,1.000000,1.000000,HHI is calculated over direct import suppliers only
2024,BWA,bauxite_alumina,23.01,0,23.01,0,2,0.913081,0.841272,HHI is calculated over direct import suppliers only
