country_id,iso3_code,country_name,region,subregion,latitude,longitude,valid_from,valid_to,notes
IRQ,IRQ,Iraq,,,33.105075667527906,43.832529181056884,1970,,BACI country_code=368; centroid source=world-countries-centroids
ISL,ISL,Iceland,,,65.12360920205514,-19.05682967106099,1970,,BACI country_code=352; centroid source=world-countries-centroids
ISR,ISR,Israel,,,31.513542220043195,35.027923472437024,1970,,BACI country_code=376; centroid source=world-countries-centroids
ITA,ITA,Italy,,,42.98201127614267,12.763657166123137,1970,,BACI country_code=380; centroid source=world-countries-centroids
JAM,JAM,Jamaica,,,18.12207889341651,-77.30358894542778,1970,,BACI country_code=388; centroid source=world-countries-centroids
JOR,JOR,Jordan,,,31.387064884449156,36.95728884547246,1970,,BACI country_code=400; centroid source=world-countries-centroids
JPN,JPN,Japan,,,36.76738832597829,137.46934234351835,1970,,BACI country_code=392; centroid source=world-countries-centroids
KAZ,KAZ,Kazakhstan,,,47.641465195176835,66.3759193479301,1970,,BACI country_code=398; centroid source=world-countries-centroids
KEN,KEN,Kenya,,,0.6899182318376179,37.95309411262371,1970,,BACI country_code=404; centroid source=world-countries-centroids
KGZ,KGZ,Kyrgyzstan,,,41.35698905438358,74.17532903468319,1970,,BACI country_code=417; centroid source=world-countries-centroids
KHM,KHM,Cambodia,,,12.699186865507775,105.03973078680701,1970,,BACI country_code=116; centroid source=world-countries-centroids
KIR,KIR,Kiribati,,,1.8676673749241066,-157.39024189323504,1970,,BACI country_code=296; centroid source=world-countries-centroids
KNA,KNA,Saint Kitts and Nevis,,,17.314736299587768,-62.74560385895787,1970,,BACI country_code=659; centroid source=world-countries-centroids
KOR,KOR,South Korea,,,36.402386712544114,127.76224551357649,1970,,BACI country_code=410; centroid source=world-countries-centroids
KWT,KWT,Kuwait,,,29.281360965443092,47.56311109320184,1970,,BACI country_code=414; centroid source=world-countries-centroids
LAO,LAO,Laos,,,18.117282736873282,103.76375899026448,1970,,BACI country_code=418; centroid source=world-countries-centroids
LBN,LBN,Lebanon,,,33.91160170722086,35.89651946324749,1970,,BACI country_code=422; centroid source=world-countries-centroids
LBR,LBR,Liberia,,,6.52012979398834,-9.258988935497618,1970,,BACI country_code=430; centroid source=world-countries-centroids
LBY,LBY,Libya,,,27.202915771690794,17.91133392454237,1970,,BACI country_code=434; centroid source=world-countries-centroids
LCA,LCA,Saint Lucia,,,13.895749185129906,-60.9689510935251,1970,,BACI country_code=662; centroid source=world-countries-centroids
LKA,LKA,Sri Lanka,,,7.696630939329944,80.66931169770622,1970,,BACI country_code=144; centroid source=world-countries-centroids
LSO,LSO,Lesotho,,,-29.60168116924817,28.24475317864227,1970,,BACI country_code=426; centroid source=world-countries-centroids
LTU,LTU,Lithuania,,,55.29437393417175,23.946021605013534,1970,,BACI country_code=440; centroid source=world-countries-centroids
LUX,LUX,Luxembourg,,,49.77523454542369,6.103230338458876,1970,,BACI country_code=442; centroid source=world-countries-centroids
LVA,LVA,Latvia,,,56.813853047554154,24.693671325654403,1970,,BACI country_code=428; centroid source=world-countries-centroids
MAR,MAR,Morocco,,,28.687598134979325,-8.817212587250811,1970,,BACI country_code=504; centroid source=world-countries-centroids
MDA,MDA,Moldova,,,47.0725674580696,28.391111865941348,1970,,BACI country_code=498; centroid source=world-countries-centroids
MDG,MDG,Madagascar,,,-19.04163612493041,46.68493466832544,1970,,BACI country_code=450; centroid source=world-countries-centroids
MDV,MDV,Maldives,,,-0.6065577168009924,73.10076245140479,1970,,BACI country_code=462; centroid source=world-countries-centroids
MEX,MEX,Mexico,,,23.87436068093592,-101.55399731630118,1970,,BACI country_code=484; centroid source=world-countries-centroids
MHL,MHL,Marshall Islands,,,7.307929900994344,168.72016025351076,1970,,BACI country_code=584; centroid source=world-countries-centroids
MKD,MKD,North Macedonia,,,41.59402890143112,21.70998923872772,1970,,BACI country_code=807; centroid source=world-countries-centroids
MLI,MLI,Mali,,,17.168146208584837,-4.346399841781153,1970,,BACI country_code=466; centroid source=world-countries-centroids
MLT,MLT,Malta,,,35.890522650899314,14.441922442508494,1970,,BACI country_code=470; centroid source=world-countries-centroids
MMR,MMR,Myanmar,,,19.901227931399873,97.08892285397344,1970,,BACI country_code=104; centroid source=world-countries-centroids
MNE,MNE,Montenegro,,,42.73694835210454,19.29505087156758,1970,,BACI country_code=499; centroid source=world-countries-centroids
MNG,MNG,Mongolia,,,47.08644454604851,103.3987360327455,1970,,BACI country_code=496; centroid source=world-countries-centroids
MNP,MNP,Northern Mariana Islands,,,15.178063516432115,145.74119737203134,1970,,BACI country_code=580; centroid source=world-countries-centroids
MOZ,MOZ,Mozambique,,,-17.525230309488748,35.208577031290176,1970,,BACI country_code=508; centroid source=world-countries-centroids
MRT,MRT,Mauritania,,,20.466731212820022,-10.495079045035716,1970,,BACI country_code=478; centroid source=world-countries-centroids
MSR,MSR,Montserrat,,,16.735363391460357,-62.18693281256255,1970,,BACI country_code=500; centroid source=world-countries-centroids
MUS,MUS,Mauritius,,,-20.28142317475198,57.56415671066546,1970,,BACI country_code=480; centroid source=world-countries-centroids
MWI,MWI,Malawi,,,-13.128986464184024,34.23441182298881,1970,,BACI country_code=454; centroid source=world-countries-centroids
